,movie_title,release_year
0,Home Alone,1990
1,Ghost,1990
2,Dances with Wolves,1990
3,Pretty Woman,1990
4,Teenage Mutant Ninja Turtles,1990
5,The Hunt for Red October,1990
6,Total Recall,1990
7,Die Hard 2,1990
8,Dick Tracy,1990
9,Kindergarten Cop,1990
10,Beauty and the Beast,1991
11,Terminator 2: Judgment Day,1991
12,Robin Hood: Prince of Thieves,1991
13,The Silence of the Lambs,1991
14,City Slickers,1991
15,Hook,1991
16,The Addams Family,1991
17,Sleeping with the Enemy,1991
18,Father of the Bride,1991
19,The Naked Gun 2Â½: The Smell of Fear,1991
20,Aladdin,1992
21,Home Alone 2: Lost in New York,1992
22,Batman Returns,1992
23,Lethal Weapon 3,1992
24,A Few Good Men,1992
25,Sister Act,1992
26,The Bodyguard,1992
27,Wayne's World,1992
28,Basic Instinct,1992
29,A League of Their Own,1992
30,Jurassic Park,1993
31,Mrs. Doubtfire,1993
32,The Fugitive,1993
33,The Firm,1993
34,Sleepless in Seattle,1993
35,Indecent Proposal,1993
36,In the Line of Fire,1993
37,The Pelican Brief,1993
38,Schindler's List,1993
39,Cliffhanger,1993
40,The Lion King,1994
41,Forrest Gump,1994
42,True Lies,1994
43,The Santa Clause,1994
44,The Flintstones,1994
45,Dumb and Dumber,1994
46,Clear and Present Danger,1994
47,Speed,1994
48,The Mask,1994
49,Pulp Fiction,1994
50,Toy Story,1995
51,Batman Forever,1995
52,Apollo 13,1995
53,Pocahontas,1995
54,Ace Ventura: When Nature Calls,1995
55,GoldenEye,1995
56,Jumanji,1995
57,Casper,1995
58,Se7en,1995
59,Die Hard with a Vengeance,1995
60,Independence Day,1996
61,Twister,1996
62,Mission: Impossible,1996
63,Jerry Maguire,1996
64,Ransom,1996
65,101 Dalmatians,1996
66,The Rock,1996
67,The Nutty Professor,1996
68,The Birdcage,1996
69,A Time to Kill,1996
70,Titanic,1997
71,Men in Black,1997
72,The Lost World: Jurassic Park,1997
73,Liar Liar,1997
74,Air Force One,1997
75,As Good as It Gets,1997
76,Good Will Hunting,1997
77,My Best Friend's Wedding,1997
78,Tomorrow Never Dies,1997
79,Face/Off,1997
80,Saving Private Ryan,1998
81,Armageddon,1998
82,There's Something About Mary,1998
83,A Bug's Life,1998
84,The Waterboy,1998
85,Doctor Dolittle,1998
86,Rush Hour,1998
87,Deep Impact,1998
88,Godzilla,1998
89,Patch Adams,1998
90,Star Wars: Episode I - The Phantom Menace,1999
91,The Sixth Sense,1999
92,Toy Story 2,1999
93,Austin Powers: The Spy Who Shagged Me,1999
94,The Matrix,1999
95,Tarzan,1999
96,Big Daddy,1999
97,The Mummy,1999
98,Runaway Bride,1999
99,The Blair Witch Project,1999
