,movie_title,tomato_score
0,Home Alone,66
1,Ghost,75
2,Dances with Wolves,87
3,Pretty Woman,66
4,Teenage Mutant Ninja Turtles,41
5,The Hunt for Red October,88
6,Total Recall,83
7,Die Hard 2,69
8,Dick Tracy,63
9,Kindergarten Cop,53
10,Beauty and the Beast,94
11,Terminator 2: Judgment Day,93
12,Robin Hood: Prince of Thieves,51
13,The Silence of the Lambs,95
14,City Slickers,90
15,Hook,29
16,The Addams Family,67
17,Sleeping with the Enemy,22
18,Father of the Bride,70
19,The Naked Gun 2Â½: The Smell of Fear,58
20,Aladdin,95
21,Home Alone 2: Lost in New York,35
22,Batman Returns,81
23,Lethal Weapon 3,58
24,A Few Good Men,83
25,Sister Act,74
26,The Bodyguard,38
27,Wayne's World,79
28,Basic Instinct,57
29,A League of Their Own,81
30,Jurassic Park,91
31,Mrs. Doubtfire,70
32,The Fugitive,96
33,The Firm,76
34,Sleepless in Seattle,75
35,Indecent Proposal,34
36,In the Line of Fire,96
37,The Pelican Brief,54
38,Schindler's List,98
39,Cliffhanger,67
40,The Lion King,93
41,Forrest Gump,71
42,True Lies,70
43,The Santa Clause,73
44,The Flintstones,21
45,Dumb and Dumber,68
46,Clear and Present Danger,80
47,Speed,94
48,The Mask,80
49,Pulp Fiction,92
50,Toy Story,100
51,Batman Forever,39
52,Apollo 13,96
53,Pocahontas,55
54,Ace Ventura: When Nature Calls,21
55,GoldenEye,80
56,Jumanji,52
57,Casper,51
58,Se7en,82
59,Die Hard with a Vengeance,58
60,Independence Day,67
61,Twister,63
62,Mission: Impossible,66
63,Jerry Maguire,84
64,Ransom,74
65,101 Dalmatians,41
66,The Rock,68
67,The Nutty Professor,64
68,The Birdcage,82
69,A Time to Kill,68
70,Titanic,87
71,Men in Black,91
72,The Lost World: Jurassic Park,54
73,Liar Liar,83
74,Air Force One,79
75,As Good as It Gets,85
76,Good Will Hunting,97
77,My Best Friend's Wedding,73
78,Tomorrow Never Dies,56
79,Face/Off,92
80,Saving Private Ryan,94
81,Armageddon,37
82,There's Something About Mary,83
83,A Bug's Life,92
84,The Waterboy,33
85,Doctor Dolittle,41
86,Rush Hour,61
87,Deep Impact,46
88,Godzilla,16
89,Patch Adams,22
90,Star Wars: Episode I - The Phantom Menace,51
91,The Sixth Sense,86
92,Toy Story 2,100
93,Austin Powers: The Spy Who Shagged Me,53
94,The Matrix,88
95,Tarzan,89
96,Big Daddy,39
97,The Mummy,61
98,Runaway Bride,46
99,The Blair Witch Project,86
100,2,
101,2,
102,2,
103,2,
104,2,
105,2,
106,2,
107,2,
108,2,
109,2,
