,count_down,movie_title,release_year,tomato_score,lead_role,actor_two,actor_three,actor_four,director,critics_consensus,synopsis,Opening,Studio,Medium
94,47,Magnolia,1999,83,Jason Robards,Julianne Moore,Tom Cruise,Philip Seymour Hoffman,Paul Thomas Anderson,"Magnolia is an ambitious, lengthy work that ultimately succeeds due to interesting stories and excellent ensemble performances.","On one random day in the San Fernando Valley, a dying father, a young wife, a male caretaker, a famous... [More]",DECEMBER,New Line Cinema,Live action
95,46,The Usual Suspects,1995,89,Stephen Baldwin,Gabriel Byrne,Chazz Palminteri,Kevin Pollak,Bryan Singer,"Expertly shot and edited, The Usual Suspects gives the audience a simple plot and then piles on layers of deceit, twists, and violence before pulling out the rug from underneath.","""The greatest trick the devil ever pulled was convincing the world he didn't exist,"" says con man Kint (Kevin Spacey),... [More]",SEPTEMBER,Gramercy Pictures,Live action
96,45,Reservoir Dogs,1992,90,Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn,Quentin Tarantino,"Thrumming with intelligence and energy, Reservoir Dogs opens Quentin Tarantino's filmmaking career with hard-hitting style.",A group of thieves assemble to pull of the perfect diamond heist. It turns into a bloody ambush when one... [More],OCTOBER,Miramax Films,Live action
97,44,The Truman Show,1998,95,Jim Carrey,Laura Linney,Noah Emmerich,Natascha McElhone,Peter Weir,"A funny, tender, and thought-provoking film, The Truman Show is all the more noteworthy for its remarkably prescient vision of runaway celebrity culture and a nation with an insatiable thirst for the private details of ordinary lives.","He doesn't know it, but everything in Truman Burbank's (Jim Carrey) life is part of a massive TV set. Executive... [More]",JUNE,Paramount Pictures,Live action
98,43,Edward Scissorhands,1990,89,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,Tim Burton,"The first collaboration between Johnny Depp and Tim Burton, Edward Scissorhands is a magical modern fairy tale with gothic overtones and a sweet center.",A scientist (Vincent Price) builds an animated human being -- the gentle Edward (Johnny Depp). The scientist dies before he... [More],DECEMBER,20th Century Fox,Live action
99,42,Beauty and the Beast,1991,94,Paige O'Hara,Robby Benson,Richard White,Jerry Orbach,Gary Trousdale,"Enchanting, sweepingly romantic, and featuring plenty of wonderful musical numbers, Beauty and the Beast is one of Disney's most elegant animated offerings.","An arrogant young prince (Robby Benson) and his castle's servants fall under the spell of a wicked enchantress, who turns... [More]",NOVEMBER,Walt Disney Pictures,Animation
100,41,Seven,1995,82,Brad Pitt,Morgan Freeman,Gwyneth Paltrow,R. Lee Ermey,David Fincher,"A brutal, relentlessly grimy shocker with taut performances, slick gore effects, and a haunting finale.",When retiring police Detective William Somerset (Morgan Freeman) tackles a final case with the aid of newly transferred David Mills... [More],SEPTEMBER,New Line Cinema,Live action
101,40,Being John Malkovich,1999,94,John Cusack,Cameron Diaz,Catherine Keener,Orson Bean,Spike Jonze,"Smart, funny, and highly original, Being John Malkovich supports its wild premise with skillful direction and a stellar ensemble cast.","In this quirky cult-favorite comedy, unemployed New York City puppeteer Craig Schwartz (John Cusack) reluctantly takes a temp job as... [More]",OCTOBER,USA Films,Live action
102,39,Boogie Nights,1997,93,Mark Wahlberg,Burt Reynolds,Julianne Moore,John C. Reilly,Paul Thomas Anderson,"Grounded in strong characters, bold themes, and subtle storytelling, Boogie Nights is a groundbreaking film both for director P.T. Anderson and star Mark Wahlberg.","In the San Fernando Valley in 1977, teenage busboy Eddie Adams (Mark Wahlberg) gets discovered by porn director Jack Horner... [More]",OCTOBER,New Line Cinema,Live action
103,38,The Professional,1994,74,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Luc Besson,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.,"Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive... [More]",,,
104,37,Chungking Express,1994,88,Brigitte Lin,Takeshi Kaneshiro,Tony Leung Chiu Wai,Faye Wong,Kar Wai Wong,"Even if all it had to offer were writer-director Wong Kar-wai's thrillingly distinctive visuals, Chungking Express would be well worth watching; happily, its thoughtfully drawn characters and naturalistic performances also pack a potent dramatic wallop.","Every day, Cop 223 (Takeshi Kaneshiro) buys a can of pineapple with an expiration date of May 1, symbolizing the... [More]",,,
105,36,Heat,1995,88,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Michael Mann,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre.","Master criminal Neil McCauley (Robert De Niro) is trying to control the rogue actions of one of his men, while... [More]",DECEMBER,Warner Bros. Pictures / Regency Enterprises,Live action
106,35,Pretty Woman,1990,66,Richard Gere,Julia Roberts,Ralph Bellamy,Jason Alexander,Garry Marshall,"Pretty Woman may be a yuppie fantasy, but the film's slick comedy, soundtrack, and casting can overcome misgivings.","In this modern update on Cinderella, a prostitute and a wealthy businessman fall hard for one another, forming an unlikely... [More]",MARCH,Touchstone Pictures,Live action
107,34,Office Space,1999,80,Ron Livingston,Jennifer Aniston,David Herman,Ajay Naidu,Mike Judge,Mike Judge lampoons the office grind with its inspired mix of sharp dialogue and witty one-liners.,"Corporate drone Peter Gibbons (Ron Livingston) hates his soul-killing job at software company Initech. While undergoing hypnotherapy, Peter is left... [More]",FEBRUARY,20th Century Fox,Live action
108,33,Clerks,1994,90,Brian O'Halloran,Jeff Anderson,Marilyn Ghigliotti,Lisa Spoonhauer,Kevin Smith,"With its quirky characters and clever, quotable dialogue, Clerks is the ultimate clarion call for slackers everywhere to unite and, uh, do something we guess?",Dante (Brian O'Halloran) is called in to cover a shift at his New Jersey convenience store on his day off.... [More],OCTOBER,Miramax Films / View Askew Productions,Live action
109,32,The Silence of the Lambs,1991,95,Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine,Jonathan Demme,"Director Jonathan Demme's smart, taut thriller teeters on the edge between psychological study and all-out horror, and benefits greatly from stellar performances by Anthony Hopkins and Jodie Foster.","Jodie Foster stars as Clarice Starling, a top student at the FBI's training academy. Jack Crawford (Scott Glenn) wants Clarice... [More]",FEBRUARY,Orion Pictures,Live action
110,31,Good Will Hunting,1997,96,Matt Damon,Robin Williams,Ben Affleck,Minnie Driver,Gus Van Sant,"It follows a predictable narrative arc, but Good Will Hunting adds enough quirks to the journey -- and is loaded with enough powerful performances -- that it remains an entertaining, emotionally rich drama.",Will Hunting (Matt Damon) has a genius-level IQ but chooses to work as a janitor at MIT. When he solves... [More],DECEMBER,Miramax Films,Live action
111,30,Toy Story,1995,100,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,John Lasseter,"Entertaining as it is innovative, Toy Story reinvigorated animation while heralding the arrival of Pixar as a family-friendly force to be reckoned with.","Woody (Tom Hanks), a good-hearted cowboy doll who belongs to a young boy named Andy (John Morris), sees his position... [More]",NOVEMBER,Walt Disney Pictures / Pixar Animation Studios,Animation
112,29,Princess Mononoke,1997,93,Claire Danes,Billy Bob Thornton,Gillian Anderson,Billy Crudup,Hayao Miyazaki,"With its epic story and breathtaking visuals, Princess Mononoke is a landmark in the world of animation.",A prince becomes involved in the struggle between a forest princess and the encroachment of mechanization.... [More],OCTOBER,Walt Disney Pictures / Studio Ghibli,Animation
113,28,Groundhog Day,1993,97,Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky,Harold Ramis,"Smart, sweet, and inventive, Groundhog Day highlights Murray's dramatic gifts while still leaving plenty of room for laughs.","Phil (Bill Murray), a weatherman, is out to cover the annual emergence of the groundhog from its hole. He gets... [More]",FEBRUARY,Columbia Pictures,Live action
114,27,Fargo,1996,94,Frances McDormand,Steve Buscemi,William H. Macy,Peter Stormare,Joel Coen,"Violent, quirky, and darkly funny, Fargo delivers an original crime story and a wonderful performance by McDormand.","""Fargo"" is a reality-based crime drama set in Minnesota in 1987. Jerry Lundegaard (William H. Macy) is a car salesman... [More]",MARCH,Gramercy Pictures,Live action
115,26,Gattaca,1997,81,Ethan Hawke,Uma Thurman,Jude Law,Gore Vidal,Andrew Niccol,"Intelligent and scientifically provocative, Gattaca is an absorbing sci fi drama that poses important interesting ethical questions about the nature of science.","Vincent Freeman (Ethan Hawke) has always fantasized about traveling into outer space, but is grounded by his status as a... [More]",OCTOBER,Columbia Pictures / Jersey Films,Live action
116,25,The English Patient,1996,86,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas,Anthony Minghella,"Though it suffers from excessive length and ambition, director Minghella's adaptation of the Michael Ondaatje novel is complex, powerful, and moving.",The sweeping expanses of the Sahara are the setting for a passionate love affair in this adaptation of Michael Ondaatje's... [More],NOVEMBER,Miramax Films,Live action
117,24,Boyz N the Hood,1991,96,Larry Fishburne,Ice Cube,Cuba Gooding Jr.,Nia Long,John Singleton,"Well-acted and thematically rich, Boyz N the Hood observes Black America with far more depth and compassion than many of the like-minded films its success inspired.","Tre (Cuba Gooding Jr.) is sent to live with his father, Furious Styles (Larry Fishburne), in tough South Central Los... [More]",,,
118,23,Unforgiven,1992,96,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,Clint Eastwood,"As both director and star, Clint Eastwood strips away decades of Hollywood varnish applied to the Wild West, and emerges with a series of harshly eloquent statements about the nature of violence.","When prostitute Delilah Fitzgerald (Anna Thomson) is disfigured by a pair of cowboys in Big Whiskey, Wyoming, her fellow brothel... [More]",AUGUST,Warner Bros. Pictures,Live action
119,22,Rushmore,1998,90,Jason Schwartzman,Bill Murray,Olivia Williams,Seymour Cassel,Wes Anderson,"This cult favorite is a quirky coming of age story, with fine, off-kilter performances from Jason Schwartzman and Bill Murray.","When a beautiful first-grade teacher (Olivia Williams) arrives at a prep school, she soon attracts the attention of an ambitious... [More]",OCTOBER,Touchstone Pictures,Live action
120,21,Hoop Dreams,1994,98,Steve James,William Gates,Arthur Agee,Sheila Agee,Steve James,"One of the most critically acclaimed documentaries of all time, Hoop Dreams is a rich, complex, heartbreaking, and ultimately deeply rewarding film that uses high school hoops as a jumping-off point to explore issues of race, class, and education in modern America.","Every school day, African-American teenagers William Gates and Arthur Agee travel 90 minutes each way from inner-city Chicago to St.... [More]",OCTOBER,Fine Line Features,Live action
121,20,The Iron Giant,1999,96,Jennifer Aniston,Eli Marienthal,Harry Connick Jr.,Vin Diesel,Brad Bird,The endearing Iron Giant tackles ambitious topics and complex human relationships with a steady hand and beautifully animated direction from Brad Bird.,"In this animated adaptation of Ted Hughes' Cold War fable, a giant alien robot (Vin Diesel) crash-lands near the small... [More]",AUGUST,Warner Bros. Pictures,Animation
122,19,Scream,1996,80,Neve Campbell,David Arquette,Courteney Cox,Matthew Lillard,Wes Craven,"Horror icon Wes Craven's subversive deconstruction of the genre is sly, witty, and surprisingly effective as a slasher film itself, even if it's a little too cheeky for some.",The sleepy little town of Woodsboro just woke up screaming. There's a killer in their midst who's seen a few... [More],DECEMBER,Dimension Films,Live action
123,18,Saving Private Ryan,1998,94,Tom Hanks,Edward Burns,Tom Sizemore,Jeremy Davies,Steven Spielberg,"Anchored by another winning performance from Tom Hanks, Steven Spielberg's unflinchingly realistic war film virtually redefines the genre.","Captain John Miller (Tom Hanks) takes his men behind enemy lines to find Private James Ryan, whose three brothers have... [More]",JULY,DreamWorks / Paramount Pictures / Amblin Entertainment / Mutual Film Company,Live action
124,17,L.A. Confidential,1997,99,Kevin Spacey,Russell Crowe,Guy Pearce,James Cromwell,Curtis Hanson,"Taut pacing, brilliantly dense writing and Oscar-worthy acting combine to produce a smart, popcorn-friendly thrill ride.","Three policemen, each with his own motives and obsessions, tackle the corruption surrounding an unsolved murder at a downtown Los... [More]",SEPTEMBER,Warner Bros. Pictures / Regency Enterprises,Live action
125,16,Goodfellas,1990,96,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Martin Scorsese,"Hard-hitting and stylish, GoodFellas is a gangster classic -- and arguably the high point of Martin Scorsese's career.",A young man grows up in the mob and works very hard to advance himself through the ranks. He enjoys... [More],SEPTEMBER,Warner Bros. Pictures,Live action
126,15,Terminator 2: Judgment Day,1991,93,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,James Cameron,"T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters.","In this sequel set eleven years after ""The Terminator,"" young John Connor (Edward Furlong), the key to civilization's victory over... [More]",JULY,TriStar Pictures / Carolco Pictures,Live action
127,14,Clueless,1995,81,Alicia Silverstone,Stacey Dash,Brittany Murphy,Paul Rudd,Amy Heckerling,"A funny and clever reshaping of Emma, Clueless offers a soft satire that pokes as much fun at teen films as it does at the Beverly Hills glitterati.","Shallow, rich and socially successful Cher (Alicia Silverstone) is at the top of her Beverly Hills high school's pecking scale.... [More]",JULY,Paramount Pictures,Live action
128,13,Friday,1995,76,Ice Cube,Chris Tucker,Nia Long,Tiny Lister Jr.,F. Gary Gray,"What Friday might lack in taut construction or directorial flair, it more than makes up with its vibrant (albeit consistently crass) humor and the charming, energetic performances of its leads.","It's Friday and Craig Jones (Ice Cube) has just gotten fired for stealing cardboard boxes. To make matters worse, rent... [More]",APRIL,New Line Cinema,Live action
129,12,Fight Club,1999,79,Brad Pitt,Edward Norton,Helena Bonham Carter,Meat Loaf,David Fincher,"Solid acting, amazing direction, and elaborate production design make Fight Club a wild ride.",A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon... [More],OCTOBER,20th Century Fox / Fox 2000 Pictures / Regency Enterprises,Live action
130,11,Schindler's List,1993,98,Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Steven Spielberg,Schindler's List blends the abject horror of the Holocaust with Steven Spielberg's signature tender humanism to create the director's dramatic masterpiece.,"Businessman Oskar Schindler (Liam Neeson) arrives in Krakow in 1939, ready to make his fortune from World War II, which... [More]",DECEMBER,Universal Pictures / Amblin Entertainment,Live action
131,10,The Matrix,1999,88,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Andy Wachowski,"Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects.","Neo (Keanu Reeves) believes that Morpheus (Laurence Fishburne), an elusive figure considered to be the most dangerous man alive, can... [More]",MARCH,Warner Bros. Pictures / Village Roadshow Pictures / Silver Pictures,Live action
132,9,Thelma & Louise,1991,86,Susan Sarandon,Geena Davis,Harvey Keitel,Michael Madsen,Ridley Scott,"Simultaneously funny, heartbreaking, and peppered with action, Ridley Scott's Thelma & Louise is a potent, well-acted road movie that transcends the feminist message at its core.","Meek housewife Thelma (Geena Davis) joins her friend Louise (Susan Sarandon), an independent waitress, on a short fishing trip. However,... [More]",MAY,Metro-Goldwyn-Mayer,Live action
133,8,Toy Story 2,1999,100,Tom Hanks,Tim Allen,Joan Cusack,Kelsey Grammer,Ash Brannon,"The rare sequel that arguably improves on its predecessor, Toy Story 2 uses inventive storytelling, gorgeous animation, and a talented cast to deliver another rich moviegoing experience for all ages.","Woody (Tom Hanks) is stolen from his home by toy dealer Al McWhiggin (Wayne Knight), leaving Buzz Lightyear (Tim Allen)... [More]",NOVEMBER,Walt Disney Pictures / Pixar Animation Studios,Animation
134,7,Jurassic Park,1993,92,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Steven Spielberg,"Jurassic Park is a spectacle of special effects and life-like animatronics, with some of Spielberg's best sequences of sustained awe and sheer terror since Jaws.","In Steven Spielberg's massive blockbuster, paleontologists Alan Grant (Sam Neill) and Ellie Sattler (Laura Dern) and mathematician Ian Malcolm (Jeff... [More]",JUNE,Universal Pictures / Amblin Entertainment,Live action
135,6,Before Sunrise,1995,100,Ethan Hawke,Julie Delpy,Erni Mangold,Hanno Poeschl,Richard Linklater,"Thought-provoking and beautifully filmed, Before Sunrise is an intelligent, unabashedly romantic look at modern love, led by marvelously natural performances from Ethan Hawke and Julie Delpy.","On his way to Vienna, American Jesse (Ethan Hawke) meets Celine (Julie Delpy), a student returning to Paris. After long... [More]",JANUARY,Columbia Pictures / Castle Rock Entertainment,Live action
136,5,The Big Lebowski,1998,83,Jeff Bridges,John Goodman,Julianne Moore,Steve Buscemi,Joel Coen,"Typically stunning visuals and sharp dialogue from the Coen Brothers, brought to life with strong performances from Goodman and Bridges.","Jeff Bridges plays Jeff Lebowski who insists on being called ""the Dude,"" a laid-back, easygoing burnout who happens to have... [More]",MARCH,Gramercy Pictures / PolyGram Filmed Entertainment / Working Title Films,Live action
137,4,Titanic,1997,87,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,James Cameron,"A mostly unqualified triumph for James Cameron, who offers a dizzying blend of spectacular visuals and old-fashioned melodrama.","James Cameron's ""Titanic"" is an epic, action-packed romance set against the ill-fated maiden voyage of the R.M.S. Titanic; the pride... [More]",DECEMBER,20th Century Fox / Paramount Pictures,Live action
138,3,The Lion King,1994,93,Matthew Broderick,Jeremy Irons,James Earl Jones,Madge Sinclair,Roger Allers,"Emotionally stirring, richly drawn, and beautifully animated, The Lion King is a pride within Disney's pantheon of classic family films.","This Disney animated feature follows the adventures of the young lion Simba (Jonathan Taylor Thomas), the heir of his father,... [More]",JUNE,Walt Disney Pictures,Animation
139,2,The Shawshank Redemption,1994,91,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Frank Darabont,"The Shawshank Redemption is an uplifting, deeply satisfying prison drama with sensitive direction and fine performances.",Andy Dufresne (Tim Robbins) is sentenced to two consecutive life terms in prison for the murders of his wife and... [More],SEPTEMBER,Columbia Pictures / Castle Rock Entertainment,Live action
140,1,Pulp Fiction,1994,92,John Travolta,Samuel L. Jackson,Uma Thurman,Harvey Keitel,Quentin Tarantino,"One of the most influential films of the 1990s, Pulp Fiction is a delirious post-modern mix of neo-noir thrills, pitch-black humor, and pop-culture touchstones.",Vincent Vega (John Travolta) and Jules Winnfield (Samuel L. Jackson) are hitmen with a penchant for philosophical discussions. In this... [More],OCTOBER,Miramax Films,Live action
